id,name,icd_code,description,category,severity,common_symptoms,risk_factors,is_chronic,is_contagious
1,Diabetes Type 2,E11,A metabolic disease characterized by high blood sugar levels over a prolonged period,Metabolic,moderate,"excessive_thirst,frequent_urination,fatigue,blurred_vision,weight_loss,slow_healing","obesity,family_history,sedentary_lifestyle,age_over_45,poor_diet",true,false
2,Hypertension,I10,Persistently elevated blood pressure in the arteries,Cardiovascular,moderate,"headache,shortness_of_breath,chest_pain,dizziness,nosebleeds,visual_changes","obesity,high_salt_diet,stress,smoking,family_history,age",true,false
3,Heart Disease,I25,Conditions affecting the heart structure and function including coronary artery disease,Cardiovascular,severe,"chest_pain,shortness_of_breath,fatigue,irregular_heartbeat,swelling,nausea","high_cholesterol,hypertension,diabetes,smoking,obesity,family_history",true,false
4,Influenza,J11,Viral infection affecting the respiratory system caused by influenza viruses,Respiratory,mild,"fever,cough,fatigue,body_aches,headache,sore_throat,runny_nose,chills","weak_immunity,elderly,chronic_conditions,crowded_places,winter_season",false,true
5,Common Cold,J00,Viral infectious disease of the upper respiratory tract,Respiratory,mild,"runny_nose,sneezing,sore_throat,cough,mild_fever,congestion","cold_weather,weak_immunity,stress,lack_of_sleep",false,true
6,Rheumatoid Arthritis,M06,Chronic inflammatory disorder affecting joints and surrounding tissues,Musculoskeletal,moderate,"joint_pain,stiffness,swelling,fatigue,fever,weight_loss","age,gender_female,family_history,smoking,obesity",true,false
7,Osteoarthritis,M19,Degenerative joint disease caused by breakdown of joint cartilage,Musculoskeletal,moderate,"joint_pain,stiffness,tenderness,loss_of_flexibility,bone_spurs","age,obesity,joint_injuries,repetitive_stress,genetics",true,false
8,Migraine,G43,Recurring headaches causing moderate to severe throbbing pain,Neurological,moderate,"severe_headache,nausea,vomiting,sensitivity_to_light,blurred_vision,aura","stress,hormonal_changes,certain_foods,lack_of_sleep,genetics",true,false
9,Tension Headache,G44,Most common type of headache characterized by mild to moderate pain,Neurological,mild,"dull_headache,pressure_around_forehead,neck_pain,scalp_tenderness","stress,poor_posture,eye_strain,fatigue,dehydration",false,false
10,Allergic Rhinitis,J30,Inflammation of nasal passages caused by allergens,Immunological,mild,"sneezing,runny_nose,itchy_eyes,nasal_congestion,watery_eyes","family_history,other_allergies,asthma,environmental_factors",true,false
11,Asthma,J45,Chronic respiratory condition causing breathing difficulties,Respiratory,moderate,"shortness_of_breath,wheezing,coughing,chest_tightness,difficulty_sleeping","allergies,family_history,respiratory_infections,pollution,obesity",true,false
12,Hypothyroidism,E03,Underactive thyroid gland not producing enough hormones,Endocrine,moderate,"fatigue,weight_gain,cold_sensitivity,dry_skin,constipation,depression","age,gender_female,autoimmune_disease,radiation,thyroid_surgery",true,false
13,Hyperthyroidism,E05,Overactive thyroid gland producing excess hormones,Endocrine,moderate,"weight_loss,rapid_heartbeat,anxiety,tremors,sweating,heat_sensitivity","gender_female,family_history,autoimmune_disease,excess_iodine",true,false
14,Iron Deficiency Anemia,D50,Condition with insufficient red blood cells due to low iron,Hematological,moderate,"fatigue,weakness,pale_skin,shortness_of_breath,dizziness,cold_hands","poor_diet,blood_loss,pregnancy,vegetarian_diet,malabsorption",false,false
15,Vitamin B12 Deficiency,D51,Anemia caused by lack of vitamin B12,Hematological,moderate,"fatigue,weakness,numbness,balance_problems,memory_issues,depression","vegetarian_diet,elderly,pernicious_anemia,stomach_surgery",false,false
16,Gastroesophageal Reflux,K21,Digestive disorder where stomach acid flows back into esophagus,Gastrointestinal,mild,"heartburn,regurgitation,difficulty_swallowing,chest_pain,chronic_cough","obesity,pregnancy,smoking,certain_foods,hiatal_hernia",true,false
17,Peptic Ulcer,K27,Sores developing on the lining of stomach or small intestine,Gastrointestinal,moderate,"stomach_pain,bloating,nausea,vomiting,weight_loss,dark_stool","h_pylori_infection,nsaid_use,smoking,alcohol,stress",false,false
18,Urinary Tract Infection,N39,Infection in any part of the urinary system,Urological,mild,"frequent_urination,burning_urination,cloudy_urine,pelvic_pain,fever","gender_female,sexual_activity,urinary_catheters,diabetes",false,false
19,Bronchitis,J40,Inflammation of the bronchial tubes carrying air to lungs,Respiratory,mild,"cough,mucus_production,fatigue,shortness_of_breath,chest_discomfort,fever","smoking,air_pollution,weak_immunity,acid_reflux",false,true
20,Pneumonia,J18,Infection causing inflammation in air sacs of lungs,Respiratory,severe,"fever,cough,shortness_of_breath,chest_pain,fatigue,confusion","age,smoking,chronic_diseases,weak_immunity,hospitalization",false,true
21,Depression,F32,Mental health disorder characterized by persistent sadness,Mental Health,moderate,"persistent_sadness,loss_of_interest,fatigue,sleep_changes,appetite_changes,concentration_issues","genetics,trauma,chronic_illness,medications,substance_abuse",true,false
22,Anxiety Disorder,F41,Mental health condition characterized by excessive worry,Mental Health,moderate,"excessive_worry,restlessness,fatigue,concentration_issues,sleep_problems,muscle_tension","genetics,stress,trauma,personality,other_mental_disorders",true,false
23,Insomnia,G47,Sleep disorder characterized by difficulty falling or staying asleep,Sleep Disorder,mild,"difficulty_sleeping,waking_early,daytime_fatigue,irritability,concentration_issues","stress,irregular_schedule,medications,caffeine,mental_disorders",true,false
24,Obesity,E66,Excess body fat accumulation posing health risks,Metabolic,moderate,"excess_weight,fatigue,shortness_of_breath,joint_pain,sleep_apnea","poor_diet,sedentary_lifestyle,genetics,medications,hormonal_issues",true,false
25,Healthy,Z00,No significant health issues detected,General,none,"none","none",false,false
