id,name,display_name,description,body_system,severity_levels,common_causes,emergency_signs
1,fever,Fever,Elevated body temperature above 98.6°F (37°C),General,"mild,moderate,severe","infection,inflammation,heat_exhaustion,autoimmune_disease","temperature_above_103,confusion,difficulty_breathing,severe_headache"
2,cough,Cough,Sudden expulsion of air from the lungs to clear airways,Respiratory,"mild,moderate,severe","cold,flu,allergies,asthma,bronchitis,pneumonia","blood_in_cough,difficulty_breathing,lasting_over_3_weeks,chest_pain"
3,fatigue,Fatigue,Persistent tiredness and lack of energy,General,"mild,moderate,severe","anemia,thyroid_disorder,diabetes,depression,sleep_disorders,infections","sudden_onset,accompanied_by_chest_pain,confusion,weight_loss"
4,headache,Headache,Pain in any region of the head,Neurological,"mild,moderate,severe","tension,migraine,dehydration,eye_strain,sinusitis,hypertension","sudden_severe_onset,fever,stiff_neck,confusion,vision_changes"
5,chest_pain,Chest Pain,Discomfort or pain in the chest area,Cardiovascular,"mild,moderate,severe","heart_disease,muscle_strain,acid_reflux,anxiety,lung_problems","pressure_or_squeezing,spreading_to_arm_or_jaw,shortness_of_breath,sweating"
6,shortness_of_breath,Shortness of Breath,Difficulty breathing or feeling breathless,Respiratory,"mild,moderate,severe","asthma,heart_disease,anxiety,anemia,copd,pneumonia","sudden_onset,chest_pain,bluish_lips,inability_to_speak,wheezing"
7,nausea,Nausea,Sensation of unease in the stomach with urge to vomit,Gastrointestinal,"mild,moderate,severe","food_poisoning,pregnancy,medication,motion_sickness,migraine","blood_in_vomit,severe_abdominal_pain,dehydration,fever"
8,dizziness,Dizziness,Feeling of lightheadedness or unsteadiness,Neurological,"mild,moderate,severe","low_blood_pressure,dehydration,inner_ear_problems,anemia,anxiety","fainting,chest_pain,difficulty_speaking,numbness,severe_headache"
9,joint_pain,Joint Pain,Pain or discomfort in one or more joints,Musculoskeletal,"mild,moderate,severe","arthritis,injury,infection,autoimmune_disease,gout","severe_swelling,redness_and_warmth,inability_to_move_joint,fever"
10,skin_rash,Skin Rash,Change in skin appearance with redness or bumps,Dermatological,"mild,moderate,severe","allergy,infection,autoimmune_disease,medication_reaction,eczema","spreading_rapidly,difficulty_breathing,fever,blistering"
11,weight_loss,Unexplained Weight Loss,Unintentional decrease in body weight,General,"mild,moderate,severe","diabetes,thyroid_disorder,cancer,depression,infection","rapid_unexplained_loss,accompanied_by_other_symptoms,loss_of_appetite"
